Dates,Scores,Reviews
Mar 9 2024,positive,best dreamworks movie i have ever seen both in terms of story and animation
Mar 9 2024,positive,i dont know what i was expecting but it wasnt this i was completely blown away by this film finally something critics and audiences agreed on
Mar 7 2024,positive,this movie is so good and for no reason
Mar 6 2024,positive,pretty good dreamworks movie not too many complaints
Mar 4 2024,positive,the animation was choppy which i like and the plot was also nice  overall the movie was good
Mar 2 2024,positive,puss in boots the last wish is a great and enjoyable movie the story was great the villains were good its a great movie for the shrek franchise and good to see that shrek was in the movie its a great sequel and one of my favorites i cant wait for shrek 5
Mar 2 2024,positive,puss in boots is amazing i watched this movie with my kids in january 2023 and oh boy was this a complete banger the movie is really intresting about how puss is on his last life and needs to go to the wishing star and make his wish to get back his nine lifes back since hes only on one more life left and lets not forget about the best dreamworks villlain of all time death death is the best dreamworks villain its literally no competition but jokes aside all the characters are really fun to watch not like the last puss in boots movie and the animation is splendid aswell its just really good but yeah this is a really attractive movie and i know i was really late on reviewing it i just needed more time to think about whats good
Feb 26 2024,positive,this movie is great for everyone even grandma even tho she is dead this movie is high quality animations and real models the voice actors are better and the story is amazing and reason why i wouldnt give a 5 star because not all movies are perfect
Feb 23 2024,positive,my favorite dreamworks moviesequel and my 2nd favorite movie ever
Feb 22 2024,positive,god i have no words for this masterpiece
Feb 22 2024,positive,one of the best animated movies in recent memory it harkens back to pixars golden days absolutely recommend for any and all ages with its slick animation for kids and story tackling mature themes for adults
Feb 19 2024,positive,rarity these days to see movie that kids and adults can both enjoy this shrek spinoff should be the blueprint for other studios for how to make smart animated movies
Feb 18 2024,positive,i really enjoyed the movie and watching this made me even more excited for whats to come from dream works its entertaining and a fun watch
Feb 13 2024,positive,a masterpiece i dont need to say any more
Feb 10 2024,positive,i think it couldve easily been a 45 or a 5 if it didnt spoonfeed a lot of the morals at the end like the message was very clear but they chose to make the characters spoonfeed you the moral making it less impactful amazing movie regardless the humor and the story was nice i think my favorite part are the scenes where puss is afraid of death these moments truly made the movie special
Feb 9 2024,positive,the writing in this movie is outstanding the cinematographic techniques they used was so involving and well done that i felt impressed the characters all of them with a great story and reasoning behind their actions marvelous the best animation movie ive seen this past years
Feb 8 2024,positive,this movie is absolutely spectacular  the storytelling the voices the incredible little bits of detail we see as we watch it beyond our first time its all just spectacular  and jack horner was a huge breath of fresh air for just being a purely evil villain with no sympathetic backstory or anything  but i think perrito has to be my favorite character  hes absentminded but not dumb  talkative but not annoying  and hes the sweetest soul you could ever come across  i can not praise this movie enough for any category
Feb 4 2024,positive,really good best movie dreamworks ever made watch it
Feb 4 2024,positive,this movie is awesome fresh animation good jokes loveable characters and menacing villains
Feb 4 2024,positive,masterpiece one of the best movies ive ever watched the plot the animation the characters the jokes everything is perfect the story has such great characters and i love how not all of them are redeemable it has a variety of villains each with their own personality some pure villains and some not the plot is amazing and the character development is perfect watch this movie
Feb 3 2024,positive,animation that in its narrative we have nothing new but it is so well done that laughing crying getting excited moved afraid reflecting and vibrating are natural reactions when watching it and if it is simplistic in its story the photography is spectacular being a real eye candy a sequel to the 2011 film that surpasses it and is worthy of an oscar a feat that only puss in boots can achieve your last wish could be fulfilled miauuu
Feb 3 2024,positive,plotwise i dont think any movies will ever touch the early pixar movies againtoy story incredibles monsters inc i dont think its possible but this was one of the best kid movies ive seen in a long time very entertaining
Jan 25 2024,positive,the movie has explaining that puss in boots is awesome movie that similar sequel to spiderverse
Jan 23 2024,positive,one of the best films made by dream works i had a lot of fun watching it
Jan 12 2024,positive,such a beautiful movie every scene was created with the best writer in the world
Jan 9 2024,positive,everyone was saying how surprisingly good this movie was i believed them only to an extent as i am someone who finds the first puss in boots movie underrated but then i finally saw this movie and was utterly flawed i was desperately trying to find a flaw in this movie but i just couldnt     so weird to think that a puss in boots movie might just be my favourite movie of this decade so far
Jan 9 2024,positive,very silly and fun the dog character was the best comic relief character ive seen in a very long time
Jan 9 2024,positive,puss in boots gets a beard thats enough to get you to watch it
Jan 8 2024,positive,full of excitement humor and heart what a great story with charming characters excellent voice acting and singing
Jan 8 2024,positive,great movie with an interesting lovable villain  perrito is so cute and innocent throughout the movie i love it kitty and pusss lovehate relationship was also fun to sit through as well
Jan 7 2024,positive,spectacular hilarious and heartfelt to boot pun intended puss in boots the last wish proves that theres still plenty of lives in the shrek franchise
Jan 7 2024,positive,much better movie than that horrible egg that was the 1st very nice script that entertains all audiences and very good quality graphics kung fu panda style and there is an interesting open ending
Jan 6 2024,positive,best sequel ever in any dreamworks movie they really out did themselves
Jan 6 2024,positive,it was the best movie with the most awesome story and exceptional character developement  the bad remains the best and most horrifying villain i have ever see
Jan 6 2024,positive,animation and storyline are amazing
Jan 6 2024,positive,i previously said the the 1st puss in boots need shrek or donkey to make it worth wild  there just wasnt anything there to grab onto  this film however was amazing and it stood all on its own  all the characters were great and funny  i highly recommend
Jan 5 2024,positive,well designed and animated this puss in boots sequel is emotional wholesome and terrifying but what convinces me of the films high quality are the depth of rhe characters and their conflicts
Jan 4 2024,positive,i didint expected this movie to be soo goodd loved perrito
Jan 4 2024,positive,an instant classic ive seen this movie 6 times in the year since its been out genuinely one of my new favorite animated movies everything is so beautifully animated and every character is so awesome and the message holy cow its so powerful amazing movie
Jan 4 2024,positive,an actually really good movie 9395
Jan 4 2024,positive,perfection this movie is so enjoyable the animation is incredible everything the plot is well constructed as well as other characteristics such as characters writing etc a must see if you like dreamworks movies or overall animated movies
Jan 4 2024,positive,an animated masterpiece  one of the best animated films to come out of dreamworks  animators should study this this one  everything about it was jaw droppingly well executed from the writing to the characters to the animation itself  and this possibly has the greatest villain of all time seen in any movie live action or animated
Jan 1 2024,positive,i love this movie so mush
Dec 30 2023,positive,beautiful movie beautiful animation such a scary antagonist in an animated film i love it
Dec 29 2023,positive,i want to say its not as good as people say it is but thinking about it there are no flaws the music the villains the scenery 
Dec 28 2023,positive,this movie has a amazing plot and amazing animation i love it so much
Dec 28 2023,positive,a very good sequel as usual with dreamworks both its archetypal villain and its main antagonist are excellent and the development of antonio banderas character puss in boots was very good i would watch it over and over again
Dec 28 2023,positive,i loved the movie from the setting to the characters everything was perfect it is a must watch movie and my best movie of the year so far
Dec 27 2023,positive,easily one of the best disney movies
Dec 26 2023,positive,arguably the most compelling and heartfelt animated movie packed with a great and jawdropping villain
Dec 26 2023,positive,undeniably one of the greatest kids movies ever made
Dec 26 2023,positive,thos movie is just heart warming wirh beloved characters that do not disappoint  the story is sweet with a gillian that is despicable  definitely must watch
Dec 24 2023,positive,i think my favourite movie of all time
Dec 24 2023,positive,puss in boots the last wish offers some great cameos from very recognizable faces and some of dreamworks best ever villains it is one of the best animated films in dreamworks canon    910
Dec 22 2023,positive,a movie with so much passion and soul that isnt afraid to hit the feels in all the right ways its excellent themes along with its fun and lovable cast be it good or evil or everything in between youll find someone to enjoy throughout the movie quirky and charmo yet deep and emotional this movie might be a rollercoaster for you truly a masterpiece and an easy top 3 in the shrek franchise ill always consider this a classic and a must watch if you havent
