emsId,genres,title,audience,critics,Date of Movie Release,Scraped Audience,Scraped Critics
955e71a2-aae7-4016-9cff-001818ba5988,"Action, Mystery & Thriller, Crime",Heart of Stone,51,30,2023-08-11,TRUE,TRUE
61ceae82-c0f4-48e9-91d9-5dbe9429216f,"Romance, Comedy","Red, White & Royal Blue",93,76,2023-08-11,TRUE,TRUE
0b844f90-90c7-3090-96b2-dfc570d18bcf,"Sci-Fi, Mystery & Thriller, Action, Adventure",Meg 2: The Trench,73,27,2023-08-04,TRUE,TRUE
2da44bd6-2a22-3238-a139-a40ab1769550,"Kids & Family, Comedy, Adventure, Animation",Teenage Mutant Ninja Turtles: Mutant Mayhem,90,95,2023-08-02,TRUE,TRUE
a290bfb1-cdeb-300e-8d43-d8c0f34d09c8,"Fantasy, Comedy",Haunted Mansion,84,37,2023-07-28,TRUE,TRUE
317d7155-533b-396f-8c1c-34a22e2e8ef9,Comedy,Barbie,83,88,2023-07-21,TRUE,TRUE
bb893017-585f-36ca-af30-014b4f20c08b,"Kids & Family, Comedy, Adventure, Animation","Miraculous: Ladybug & Cat Noir, The Movie",75,50,2023-07-21,TRUE,TRUE
07d7f9a2-3fa1-342a-b6ca-27fd594e04c6,"Biography, History, Drama",Oppenheimer,91,93,2023-07-21,TRUE,TRUE
13881ac0-7e95-3889-bb57-8d3efc43dc1d,"Action, Adventure, Mystery & Thriller",Mission: Impossible - Dead Reckoning Part One,94,96,2023-07-12,TRUE,TRUE
ed2a1cb8-2c1f-360f-91ab-35d207bc6336,"Horror, Mystery & Thriller",Insidious: The Red Door,70,38,2023-07-07,TRUE,TRUE
9c225277-6be0-3e7c-baf1-318f9ec51b1c,"Crime, Drama, Mystery & Thriller",Sound of Freedom,99,57,2023-07-04,TRUE,TRUE
03dfaaa5-bb73-31e9-abb5-30349e999761,"Adventure, Action",Indiana Jones and the Dial of Destiny,88,70,2023-06-30,TRUE,TRUE
34f0e7cf-195e-463c-9d81-5f283cfd2e34,"Romance, Drama",Past Lives,84,95,2023-06-30,TRUE,TRUE
b932ce0d-a67f-40d1-99da-e397626eac8f,"Comedy, Drama, Romance",Asteroid City,62,75,2023-06-23,TRUE,TRUE
b877f268-2856-3733-8832-ac638bcf2329,"Action, Adventure, Animation",Nimona,91,92,2023-06-23,TRUE,TRUE
3982b42b-f263-3d4c-a8d0-20b6616449aa,"Romance, Comedy",No Hard Feelings,87,70,2023-06-23,TRUE,TRUE
3aa49e3e-4434-4880-a5ac-a475c07b309a,"Kids & Family, Comedy, Fantasy, Animation",Elemental,93,73,2023-06-16,TRUE,TRUE
7807e2b5-72d7-3dc7-8cd4-b9482b82fe01,"Action, Adventure, Fantasy",The Flash,83,63,2023-06-16,TRUE,TRUE
d6474f19-4938-3c04-b2cf-fd9df8542540,"Action, Mystery & Thriller",Extraction 2,85,79,2023-06-09,TRUE,TRUE
ce0d1ce3-bf02-3105-af7c-2d2303af81ec,"Action, Adventure, Sci-Fi, Fantasy",Transformers: Rise of the Beasts,91,52,2023-06-09,TRUE,TRUE
27539355-4940-4c29-aaab-d3fe4dafa4ee,"Kids & Family, Action, Adventure, Comedy, Fantasy, Animation",Spider-Man: Across the Spider-Verse,94,95,2023-06-02,TRUE,TRUE
dd872818-4060-4743-ab89-2f74c181a892,"Horror, Mystery & Thriller",The Boogeyman,66,60,2023-06-02,TRUE,TRUE
57fc418a-fde1-3529-ba22-8f281d298574,"Kids & Family, Musical, Fantasy, Romance",The Little Mermaid,94,67,2023-05-26,TRUE,TRUE
00b20d93-6265-3079-a0da-de975d7ff0b1,"Action, Adventure",Fast X,84,56,2023-05-19,TRUE,TRUE
efe5186d-7ba7-3dee-bf12-b9cb1a9b3818,Comedy,Book Club: The Next Chapter,84,46,2023-05-12,TRUE,TRUE
6f293b59-c309-372c-99ad-48c767357f08,"Action, Mystery & Thriller",The Mother,62,43,2023-05-12,TRUE,TRUE
30ef95fc-0ff5-35a3-98f6-d051de8bc1b8,"Sci-Fi, Adventure, Action, Fantasy, Comedy",Guardians of the Galaxy Vol. 3,94,82,2023-05-05,TRUE,TRUE
2b9348e8-6e8b-4af5-b913-64427d4d0a23,"Kids & Family, Fantasy, Adventure",Peter Pan & Wendy,11,64,2023-04-28,TRUE,TRUE
3cc333b1-2e33-33d7-ab02-782440c16175,"Mystery & Thriller, Action, Horror",The Black Demon,77,28,2023-04-28,TRUE,TRUE
965ecc6a-dde6-405b-967d-91abb90ddb2f,"Horror, Mystery & Thriller, Fantasy",Evil Dead Rise,76,84,2023-04-21,TRUE,TRUE
2910119f-ffbe-358c-a6cb-efcfa817d3a2,"Action, Romance, Adventure",Ghosted,55,25,2023-04-21,TRUE,TRUE
78e5d8e4-6c58-484e-8b04-4392784cc6aa,"War, Drama, Action, Crime, Mystery & Thriller",Guy Ritchie's The Covenant,98,83,2023-04-21,TRUE,TRUE
3702b80c-5801-34e8-9f60-826c4a17cc2c,"Horror, Mystery & Thriller",Nefarious,96,33,2023-04-14,TRUE,TRUE
4bda4d5c-f577-46ec-ab3a-b5942975b47f,"Drama, Sports",Air,98,93,2023-04-05,TRUE,TRUE
fb281f3f-c572-37fb-ab30-3b0ee07d8454,"Kids & Family, Comedy, Adventure, Animation",The Super Mario Bros. Movie,95,59,2023-04-05,TRUE,TRUE
6f374589-6b12-3adf-a250-58a649aa40c1,"Fantasy, Adventure, Action, Comedy",Dungeons & Dragons: Honor Among Thieves,93,91,2023-03-31,TRUE,TRUE
fde71436-f4ed-323f-b23d-6e0ce470d4ba,"Action, Mystery & Thriller",John Wick: Chapter 4,93,94,2023-03-24,TRUE,TRUE
cb14bef3-e8de-3587-8519-8216a6ef7f39,"Action, Adventure, Comedy, Fantasy",Shazam! Fury of the Gods,86,49,2023-03-17,TRUE,TRUE
81c5573c-5656-38a1-8f94-a846279a1e46,"Sci-Fi, Adventure, Action, Mystery & Thriller",65,65,36,2023-03-10,TRUE,TRUE
8d14134a-57c1-3f32-a0ee-9fdb0b789e5a,Comedy,Champions,95,58,2023-03-10,TRUE,TRUE
15267f83-191e-3f0a-94c2-57674708553f,"Holiday, Horror, Mystery & Thriller",Scream VI,91,76,2023-03-10,TRUE,TRUE
daf1e5ee-6493-31a2-8e3e-691859c004e6,"Drama, Action",Creed III,95,88,2023-03-03,TRUE,TRUE
3fc11e68-12b2-30e1-bf12-4ad9bb9df033,"Horror, Comedy",Cocaine Bear,71,66,2023-02-24,TRUE,TRUE
8d105e95-5da8-4ca8-a3d3-cba0ba2fa45f,"Drama, History",Jesus Revolution,99,54,2023-02-24,TRUE,TRUE
431505cc-700e-4f8c-911a-2f3fcb2ac5a3,"Action, Adventure, Fantasy, Comedy",Ant-Man and The Wasp: Quantumania,82,46,2023-02-17,TRUE,TRUE
65013f48-9a02-3b40-a131-c197b3d8ef9a,"Comedy, Drama, Romance",Magic Mike's Last Dance,73,48,2023-02-10,TRUE,TRUE
8febdaa4-a3ea-33df-bbc9-da5559a6359b,Comedy,80 for Brady,89,58,2023-02-03,TRUE,TRUE
ffdcfeea-d1ad-328f-bc08-f5a9434c454e,"Mystery & Thriller, Drama",Knock at the Cabin,63,67,2023-02-03,TRUE,TRUE
0be70a8d-3699-35eb-bf6e-e6eabd9190d5,"Action, Romance, Comedy",Shotgun Wedding,51,44,2023-01-27,TRUE,TRUE
28b6bcb7-ed0f-49a9-bd1d-eeadfe19f868,"Fantasy, Action, Comedy, Drama",Teen Wolf: The Movie,65,32,2023-01-26,TRUE,TRUE
2da57b86-71a0-35bd-b8f4-d0c0ed1f113c,Mystery & Thriller,Missing,90,88,2023-01-20,TRUE,TRUE
34b10090-7360-3802-a99c-e74ad4ea09b2,"Romance, Comedy",You People,34,40,2023-01-20,TRUE,TRUE
9ece2c39-aa0c-36a8-9075-0c7a305a6998,"Comedy, Drama",A Man Called Otto,97,69,2023-01-13,TRUE,TRUE
ce96a905-e1cf-3e0e-95c3-30a408b84d09,"Action, Adventure, Mystery & Thriller",Plane,94,78,2023-01-13,TRUE,TRUE
5f19e3e1-ff56-31f2-acd0-dee2cf925a7b,"Horror, Mystery & Thriller, Sci-Fi",M3GAN,78,93,2023-01-06,TRUE,TRUE
81795c21-1da7-3cdc-a544-1cd56b27fbb0,"Comedy, Drama",Babylon,52,57,2022-12-23,TRUE,TRUE
339d1f8b-be3a-3365-9745-f2fd2b95f500,"Biography, Drama, Music",Whitney Houston: I Wanna Dance with Somebody,92,43,2022-12-23,TRUE,TRUE
de9ba2bd-3fdd-4b12-a519-a0a07bc30bf4,"Kids & Family, Comedy, Adventure, Animation",Puss in Boots: The Last Wish,94,95,2022-12-21,TRUE,TRUE
6b468eb8-898e-45fa-b43f-4daee6296bd0,Drama,The Whale,91,64,2022-12-21,TRUE,TRUE
6fbed893-5b71-3dc2-b35d-68ee630f6828,"Sci-Fi, Adventure, Action, Fantasy",Avatar: The Way of Water,92,76,2022-12-16,TRUE,TRUE
5e9b39f0-6a44-35d7-bcc5-219187d42352,"Holiday, Action, Comedy",Violent Night,88,73,2022-12-02,TRUE,TRUE
dff5d9c6-44fe-44f1-bd57-c542ca366856,"Action, Adventure, Fantasy, Mystery & Thriller",Troll,50,90,2022-12-01,TRUE,TRUE
e5199849-c3ac-47f0-9c63-58c6aec264a5,"Action, Adventure, Comedy, Holiday",The Guardians of the Galaxy Holiday Special,81,94,2022-11-25,TRUE,TRUE
dbf93bcb-5334-4055-9b17-186636e56871,"Comedy, Drama, Horror",White Noise,33,63,2022-11-25,TRUE,TRUE
8ea3ab6f-56f7-42b2-b31e-5ccfda84bdec,"War, History, Drama, Action",Devotion,92,80,2022-11-23,TRUE,TRUE
8a6be44d-63a4-34af-96b3-a40c0f03abaa,Drama,The Fabelmans,83,92,2022-11-23,TRUE,TRUE
a6aa1b12-3ed0-3f9a-834f-23c1eb75d58d,"Horror, Mystery & Thriller, Comedy",The Menu,76,88,2022-11-18,TRUE,TRUE
618ab0ee-b32e-36d1-a1ea-6e608003cdf2,"Action, Adventure, Fantasy",Black Panther: Wakanda Forever,94,83,2022-11-11,TRUE,TRUE
07fa8a49-4c8c-3b3a-872b-779d070f6c24,"Musical, Fantasy, Animation",Guillermo del Toro's Pinocchio,90,96,2022-11-09,TRUE,TRUE
443b75e4-9232-43ec-afe2-eef09b5439cb,"Drama, History, Biography",Till,97,96,2022-10-28,TRUE,TRUE
09a12550-c5fe-4b73-98fd-706cb694c324,"Action, Adventure, Fantasy",Black Adam,88,38,2022-10-21,TRUE,TRUE
e3912e3b-4d4b-3aa7-8bc6-43abc8cf411f,"Romance, Comedy",Ticket to Paradise,87,56,2022-10-21,TRUE,TRUE
0f01cdc9-cea0-4a9d-8a20-9c8d5beae6c6,"Drama, Action, Fantasy",The School for Good and Evil,66,37,2022-10-19,TRUE,TRUE
0e105a31-3528-4a80-a67a-a7f92410efe7,"Holiday, Horror, Mystery & Thriller",Halloween Ends,57,40,2022-10-14,TRUE,TRUE
5911bdca-999f-4f3f-a17e-f3f7245b16b8,"War, History, Drama, Action",All Quiet on the Western Front,90,90,2022-10-07,TRUE,TRUE
75a7bd35-0202-42e6-a064-0634027bfa84,"Comedy, Mystery & Thriller, Crime, Drama",Amsterdam,62,32,2022-10-07,TRUE,TRUE
08a10f7d-c792-456b-b4dd-b7c86145f321,"Horror, Mystery & Thriller",Hellraiser,58,67,2022-10-07,TRUE,TRUE
35507d2a-8433-45af-a9af-83062de761b5,"Fantasy, Action, Adventure, Horror",Werewolf by Night,88,89,2022-10-07,TRUE,TRUE
a68dd9ef-6d16-38d1-8794-c160f4825032,"Kids & Family, Holiday, Comedy, Fantasy",Hocus Pocus 2,47,65,2022-09-30,TRUE,TRUE
809e1312-04ea-46f7-9d06-07ea43d3812d,"Horror, Mystery & Thriller",Smile,77,79,2022-09-30,TRUE,TRUE
7e5d6af7-5541-4ba1-a350-16f170f2915f,"Kids & Family, Comedy, Fantasy",The Munsters,35,53,2022-09-27,TRUE,TRUE
54c30104-56a9-36a5-b75d-3c5637405dd2,Mystery & Thriller,Don't Worry Darling,74,38,2022-09-23,TRUE,TRUE
7ac482df-637b-3a86-bb94-14feb243eca2,"Biography, Drama",Blonde,36,42,2022-09-16,TRUE,TRUE
0a7e441c-2fa0-3e58-95f1-93c3592f94bb,"Action, Adventure, History, Drama, War",The Woman King,99,94,2022-09-16,TRUE,TRUE
7ad6a959-bd25-45ac-83cb-f84366374d95,"Horror, Mystery & Thriller",Barbarian,71,93,2022-09-09,TRUE,TRUE
f2ad7934-b097-3e3e-a89e-1a06e9303180,"Kids & Family, Fantasy, Adventure, Comedy, Drama",Pinocchio,27,28,2022-09-08,TRUE,TRUE
fdc8d06b-7309-3c82-9ff2-3da86ae16bf6,"Action, Fantasy, Drama, Mystery & Thriller",Samaritan,71,38,2022-08-26,TRUE,TRUE
4b8945f8-4db3-374a-8f0f-a5ab5873a078,"Mystery & Thriller, Adventure, Drama, Horror",Beast,77,68,2022-08-19,TRUE,TRUE
9dec0100-9b2f-4ab2-905d-4499b787e7c1,"Action, Adventure, Fantasy, Anime",Dragon Ball Super: Super Hero,95,93,2022-08-19,TRUE,TRUE
0ae200c5-5c65-3523-9db3-273dc0205554,"Action, Horror, Comedy",Day Shift,76,56,2022-08-12,TRUE,TRUE
7f01ccbe-dc90-30ea-b5f5-acad5c11ffc7,"Action, Comedy",Bullet Train,76,54,2022-08-05,TRUE,TRUE
87477078-fd4a-3cc4-be2c-3be9c5ec75fb,"Action, Adventure, Sci-Fi",Prey,74,94,2022-08-05,TRUE,TRUE
39b19fbf-7f31-3626-b3a8-8f39c92e3325,"Kids & Family, Comedy, Adventure, Animation",DC League of Super-Pets,88,72,2022-07-29,TRUE,TRUE
6de3b2af-ef38-3d26-ae60-82d87e4dcbb9,"Sci-Fi, Horror, Mystery & Thriller",Nope,69,83,2022-07-22,TRUE,TRUE
83ea20f9-b33d-4411-be72-0ba8332cfb29,"Comedy, Drama",Mrs. Harris Goes to Paris,93,94,2022-07-15,TRUE,TRUE
ea152546-2548-37d5-8a31-99a6bab4bc6d,"Drama, Mystery & Thriller",Where the Crawdads Sing,96,35,2022-07-15,TRUE,TRUE
0e71cf84-e236-3ed7-9d91-3df34e6b2fae,"Action, Adventure, Fantasy, Comedy",Thor: Love and Thunder,76,63,2022-07-08,TRUE,TRUE
0a892359-2d37-32e3-aa54-9979697ea466,"Kids & Family, Comedy, Adventure, Animation",Minions: The Rise of Gru,89,70,2022-07-01,TRUE,TRUE
040e8619-9198-3e84-a1f7-9963f52f2726,"Biography, Drama, Music",Elvis,94,77,2022-06-24,TRUE,TRUE
d45bf7be-658f-489c-9b2a-05cc8e60c387,"Kids & Family, Comedy, Adventure, Sci-Fi, Animation, Action",Lightyear,84,74,2022-06-17,TRUE,TRUE
778df402-58a5-365b-988f-15ff03462667,"Western, Mystery & Thriller, Action",Terror on the Prairie,81,83,2022-06-14,TRUE,TRUE
f3a12631-5b97-3a3c-aa65-babf9acebf1a,"Action, Adventure, Sci-Fi, Mystery & Thriller",Jurassic World Dominion,77,29,2022-06-10,TRUE,TRUE
1619fb6c-b4f3-4086-8534-9a8c7510fd96,Documentary,What Is a Woman?,86,75,2022-06-01,TRUE,TRUE
db97d08b-0855-3d42-890f-829fddbdb1fa,"Action, Adventure",Top Gun: Maverick,99,96,2022-05-27,TRUE,TRUE
f1cd7577-ad67-3eae-9ca6-b8c121039560,Drama,Downton Abbey: A New Era,97,87,2022-05-20,TRUE,TRUE
783507b9-197a-3216-a5b3-99a00eb48cfa,"Action, Adventure, Fantasy, Horror",Doctor Strange in the Multiverse of Madness,85,73,2022-05-06,TRUE,TRUE
79f78b8d-3973-43c6-9628-fab9ae2f05e0,"Kids & Family, Comedy, Adventure, Animation",The Bad Guys,93,88,2022-04-22,TRUE,TRUE
331878af-b880-421f-aaa3-a43f78697721,"Adventure, Action, Mystery & Thriller",The Northman,64,90,2022-04-22,TRUE,TRUE
192c76f9-28ff-3c13-b98e-8016de72cf71,"Fantasy, Adventure",Fantastic Beasts: The Secrets of Dumbledore,83,46,2022-04-15,TRUE,TRUE
f3245c14-2452-46f6-89c0-fb36527593de,"Action, Mystery & Thriller, Crime, Drama",Ambulance,88,67,2022-04-08,TRUE,TRUE
c5a8fbaa-39aa-3caa-80a4-e94975665a8a,"Comedy, Adventure, Sci-Fi, Fantasy",Everything Everywhere All at Once,86,93,2022-04-08,TRUE,TRUE
3ca56f59-864d-3b87-82cb-5fa85ce2b0db,"Kids & Family, Comedy, Adventure, Animation",Sonic the Hedgehog 2,96,69,2022-04-08,TRUE,TRUE
024318c9-5e08-3cbc-b41e-82a1763006e7,"Romance, Comedy, Adventure, Action",The Lost City,83,79,2022-03-25,TRUE,TRUE
4af56495-98fb-36db-8cdd-1c88e7b672db,"Fantasy, Action, Adventure, Anime",Jujutsu Kaisen 0: The Movie,98,98,2022-03-18,TRUE,TRUE
cebbc83b-b26b-301d-aea8-b6cc362b39db,"Sci-Fi, Adventure, Action, Comedy",The Adam Project,73,68,2022-03-11,TRUE,TRUE
e064faef-8426-4c8e-a986-ff6ff7764eeb,"Kids & Family, Comedy, Fantasy, Animation",Turning Red,68,95,2022-03-11,TRUE,TRUE
60f1eca0-6a51-3cb2-95b6-3ab959ba6e87,"Action, Adventure, Crime, Drama",The Batman,87,85,2022-03-04,TRUE,TRUE
52753444-2fb0-436f-84f2-cfbc98554120,Comedy,Dog,89,77,2022-02-18,TRUE,TRUE
286a4582-2a84-3318-92a6-42fc3e40bfd9,"Horror, Mystery & Thriller",Texas Chainsaw Massacre,25,30,2022-02-18,TRUE,TRUE
957b20be-2056-3318-9e77-1c7fef3aca9b,"Adventure, Action",Uncharted,90,40,2022-02-18,TRUE,TRUE
90106a55-988f-48da-bbdb-2e5fcadca5b0,"Romance, Comedy",Marry Me,92,61,2022-02-11,TRUE,TRUE
9d772a50-b791-4d6c-b2d4-1c90b7f74dfb,"Mystery & Thriller, Drama",Shut In,94,55,2022-02-10,TRUE,TRUE
7115f85c-9e1f-3a9c-b28d-75a0a8ddd259,Comedy,Jackass Forever,91,86,2022-02-04,TRUE,TRUE
a66083c5-3cbd-3594-bad0-7032ab10cade,"Action, Mystery & Thriller",The 355,86,24,2022-01-07,TRUE,TRUE
955ca4a9-0eae-36cc-996b-2ddc93196f2c,Drama,The Lost Daughter,56,94,2021-12-31,TRUE,TRUE
